policy,objective,overlap_threshold,delta_rel,runtime_s,joint_stages,joint_blocks,joint_stage_depth,joint_range_entries,joint_ternary_entries,joint_codeword_length,joint_register_depth,joint_register_count,joint_register_sram_bits,joint_range_depth,joint_ternary_depth,joint_range_tables,joint_ternary_tables,counterfactual_disjoint_stages,counterfactual_disjoint_blocks,counterfactual_disjoint_stage_depth,counterfactual_disjoint_range_entries,counterfactual_disjoint_ternary_entries,counterfactual_disjoint_codeword_length,counterfactual_disjoint_register_depth,counterfactual_disjoint_register_count,counterfactual_disjoint_register_sram_bits,counterfactual_disjoint_range_depth,counterfactual_disjoint_ternary_depth,counterfactual_disjoint_range_tables,counterfactual_disjoint_ternary_tables,blocks,stages,codeword_length,acc_app,f1_app,acc_ddos,f1_ddos,source_arm,M,split,k,align_attempted,align_accepted,align_intervals_before,align_codeword_before,align_codeword_floor,align_rolled_back,align_key_bytes_before,align_key_bytes_floor,align_ternary_stages_before,align_stage_target,align_bits_to_reach,align_intervals_after,align_codeword_after,align_key_bytes_after,align_ternary_stages_after,align_spent_budget
none,blocks,0.5,0.2,0.0,7,41,9,838,325,278,4,16,1048576,5,9,13,4,6,44,8,956,325,182,4,16,1048576,6,8,26,4,41,7,278,0.7671400587659157,0.7668243560932331,0.978,0.9779988168252602,joint-d020,50,10,13,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.1155815124511718,7,37,9,726,325,234,4,16,1048576,5,9,13,4,6,44,8,966,325,182,4,16,1048576,6,8,26,4,37,7,234,0.7548971596474046,0.754092577764369,0.9796666666666668,0.9796666463333132,joint-d020,50,10,13,35.0,35.0,291.0,278.0,191.0,False,42.0,29.0,4.0,32.0,32.0,247.0,234.0,36.0,4.0,True
none,blocks,0.5,0.2,0.0,7,45,9,898,310,279,4,20,1310720,5,9,17,4,7,50,9,1019,310,150,4,20,1310720,7,9,34,4,45,7,279,0.7634671890303624,0.7637154371972316,0.9786666666666668,0.9786620766422643,joint-d020,50,10,17,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0579042434692382,7,41,9,803,310,243,4,20,1310720,5,9,17,4,7,50,9,1035,310,150,4,20,1310720,7,9,34,4,41,7,243,0.7463271302644466,0.7453243404307835,0.9783333333333334,0.9783288811223548,joint-d020,50,10,17,31.0,31.0,296.0,279.0,181.0,False,43.0,30.0,4.0,32.0,53.0,260.0,243.0,40.0,4.0,True
none,blocks,0.5,0.2,0.0,9,82,12,626,616,429,3,2,131072,4,12,2,8,5,45,8,710,616,300,3,2,131072,4,8,4,8,82,9,429,0.7495102840352595,0.7507072377261804,0.9523333333333334,0.952319553684348,joint-d020,100,10,2,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.1436717510223388,9,82,12,605,616,410,3,2,131072,4,12,2,8,5,45,8,713,616,300,3,2,131072,4,8,4,8,82,9,410,0.7487757100881489,0.7499834313931915,0.9523333333333334,0.952319553684348,joint-d020,100,10,2,15.0,15.0,431.0,429.0,300.0,True,55.0,38.0,8.0,32.0,,412.0,410.0,52.0,8.0,False
none,blocks,0.5,0.2,0.0,8,53,10,680,428,342,3,5,327680,4,10,5,6,5,31,7,780,428,232,3,5,327680,4,7,10,6,53,8,342,0.7835455435847208,0.7844989533724174,0.9696666666666668,0.969666258846369,joint-d020,100,10,5,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.2047028541564941,8,53,10,631,428,310,3,5,327680,4,10,5,6,5,31,7,778,428,232,3,5,327680,4,7,10,6,53,8,310,0.7833006856023507,0.7842267472528579,0.9693333333333334,0.9693329925888066,joint-d020,100,10,5,26.0,23.0,347.0,342.0,232.0,True,45.0,31.0,6.0,32.0,86.0,315.0,310.0,41.0,6.0,False
none,blocks,0.5,0.2,0.0,9,63,11,923,427,358,4,12,786432,5,11,9,6,6,48,8,1026,427,268,4,12,786432,5,8,18,6,63,9,358,0.77179236043095,0.7733589915012684,0.977,0.9769968690182832,joint-d020,100,10,9,,,,,,,,,,,,,,,,
aligned,blocks,0.5,0.2,0.0597808361053466,9,57,11,851,427,324,4,12,786432,5,11,9,6,6,48,8,1038,427,268,4,12,786432,5,8,18,6,57,9,324,0.7700783545543585,0.7717313764135457,0.9763333333333334,0.976330469320121,joint-d020,100,10,9,29.0,29.0,367.0,358.0,270.0,False,49.0,37.0,6.0,32.0,,333.0,324.0,45.0,6.0,True
none,blocks,0.5,0.2,0.0,5,33,7,614,223,198,4,16,1048576,5,7,13,4,6,37,8,694,223,114,4,16,1048576,6,8,25,4,33,5,198,0.7389813907933399,0.7404121630894424,0.9746666666666668,0.9746590531199596,joint-d020,100,10,13,,,,,,,,,,,,,,,,
